

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,168,,1,0,0,,1.00294,1.00294,1.00294,,9.22337e+09,-nan,0
1,2,169,,1,0,0,,1.00238,1.00238,1.00238,,9.22337e+09,-nan,0
1,2,170,,1,0,0,,1.00211,1.00211,1.00211,,9.22337e+09,-nan,0
1,3,1,,1,0,0,,2.02193,2.02193,2.02193,,9.22337e+09,-nan,0
1,3,2,,1,0,0,,2.00375,2.00375,2.00375,,9.22337e+09,-nan,0
1,3,3,,1,0,0,,2.0064,2.0064,2.0064,,9.22337e+09,-nan,0
1,3,4,,1,0,0,,2.00392,2.00392,2.00392,,9.22337e+09,-nan,0
1,3,5,,1,0,0,,2.00524,2.00524,2.00524,,9.22337e+09,-nan,0
1,3,6,,1,0,0,,2.00708,2.00708,2.00708,,9.22337e+09,-nan,0
1,3,7,,1,0,0,,2.00499,2.00499,2.00499,,9.22337e+09,-nan,0
1,3,8,,1,0,0,,2.0065,2.0065,2.0065,,9.22337e+09,-nan,0
1,3,9,,1,0,0,,2.0039,2.0039,2.0039,,9.22337e+09,-nan,0
1,3,10,,1,0,0,,2.00315,2.00315,2.00315,,9.22337e+09,-nan,0
1,3,11,,1,0,0,,2.00797,2.00797,2.00797,,9.22337e+09,-nan,0
1,3,12,,1,0,0,,2.0069,2.0069,2.0069,,9.22337e+09,-nan,0
1,3,13,,1,0,0,,2.00269,2.00269,2.00269,,9.22337e+09,-nan,0
1,3,14,,1,0,0,,2.00552,2.00552,2.00552,,9.22337e+09,-nan,0
1,3,15,,1,0,0,,2.00421,2.00421,2.00421,,9.22337e+09,-nan,0
1,3,16,,1,0,0,,2.00547,2.00547,2.00547,,9.22337e+09,-nan,0
1,3,17,,1,0,0,,2.00376,2.00376,2.00376,,9.22337e+09,-nan,0
1,3,18,,1,0,0,,2.00251,2.00251,2.00251,,9.22337e+09,-nan,0
1,3,19,,1,0,0,,2.0038,2.0038,2.0038,,9.22337e+09,-nan,0
1,3,20,,1,0,0,,2.0034,2.0034,2.0034,,9.22337e+09,-nan,0
1,3,21,,1,0,0,,2.0069,2.0069,2.0069,,9.22337e+09,-nan,0
1,3,22,,1,0,0,,2.00702,2.00702,2.00702,,9.22337e+09,-nan,0
1,3,23,,1,0,0,,2.0064,2.0064,2.0064,,9.22337e+09,-nan,0
1,3,24,,1,0,0,,2.00552,2.00552,2.00552,,9.22337e+09,-nan,0
1,3,25,,1,0,0,,2.00444,2.00444,2.00444,,9.22337e+09,-nan,0
1,3,26,,1,0,0,,2.00699,2.00699,2.00699,,9.22337e+09,-nan,0
1,3,27,,1,0,0,,2.00535,2.00535,2.00535,,9.22337e+09,-nan,0
1,3,28,,1,0,0,,2.00642,2.00642,2.00642,,9.22337e+09,-nan,0
1,3,29,,1,0,0,,2.00985,2.00985,2.00985,,9.22337e+09,-nan,0
1,3,30,,1,0,0,,2.00489,2.00489,2.00489,,9.22337e+09,-nan,0
1,3,31,,1,0,0,,2.00423,2.00423,2.00423,,9.22337e+09,-nan,0
1,3,32,,1,0,0,,2.00724,2.00724,2.00724,,9.22337e+09,-nan,0
1,3,33,,1,0,0,,2.00584,2.00584,2.00584,,9.22337e+09,-nan,0
1,3,34,,1,0,0,,2.00357,2.00357,2.00357,,9.22337e+09,-nan,0
1,3,35,,1,0,0,,2.00638,2.00638,2.00638,,9.22337e+09,-nan,0
1,3,36,,1,0,0,,2.00709,2.00709,2.00709,,9.22337e+09,-nan,0
1,3,37,,1,0,0,,2.00638,2.00638,2.00638,,9.22337e+09,-nan,0
1,3,38,,1,0,0,,2.00421,2.00421,2.00421,,9.22337e+09,-nan,0
1,3,39,,1,0,0,,2.00511,2.00511,2.00511,,9.22337e+09,-nan,0
1,3,40,,1,0,0,,2.00347,2.00347,2.00347,,9.22337e+09,-nan,0
1,3,41,,1,0,0,,2.00733,2.00733,2.00733,,9.22337e+09,-nan,0
1,3,42,,1,0,0,,2.00513,2.00513,2.00513,,9.22337e+09,-nan,0
